,India,England,India PCT,England PCT,South Africa,Australia,Australia PCT,India Qualify,England Qualify,Australia Qualify ,Check,Edge Case,,NewZealand,0.7
136,3,1,72.22%,61.39%,1,2,68.67%,Yes,,,,0,,,
137,3,1,72.22%,61.39%,2,0,57.50%,Yes,,,,0,,,
138,3,1,72.22%,61.39%,2,1,62.00%,Yes,,,,0,,,
139,3,1,72.22%,61.39%,3,0,55.33%,Yes,,,,1,,,
140,4,0,76.39%,57.22%,0,0,61.83%,Yes,,,,1,,,
141,4,0,76.39%,57.22%,0,1,66.33%,Yes,,,,1,,,
142,4,0,76.39%,57.22%,0,2,70.83%,Yes,,Yes,,1,,,
143,4,0,76.39%,57.22%,0,3,75.33%,Yes,,Yes,,1,,,
144,4,0,76.39%,57.22%,1,0,59.67%,Yes,,,,1,,,
145,4,0,76.39%,57.22%,1,1,64.17%,Yes,,,,1,,,
146,4,0,76.39%,57.22%,1,2,68.67%,Yes,,,,1,,,
147,4,0,76.39%,57.22%,2,0,57.50%,Yes,,,,1,,,
148,4,0,76.39%,57.22%,2,1,62.00%,Yes,,,,1,,,
149,4,0,76.39%,57.22%,3,0,55.33%,Yes,,,,1,,,
,,,,,,,,,,,,,,,
,,,,,,,,75,48,39,,104,,,
,,,,,,,,54,32,22,,46,,,
,,,,,,,,India Final,England Final,Australia Final,,,,,
,,,,,,,Including All Results ,50.00%,32.00%,26.00%,,,,,
,,,,,,,Excluding Edge Cases,51.92%,30.77%,21.15%,,,,,
